Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,lcsc,sim.device,sim.pins,sim.type,height,i2c,arrow part number,arrow price/stock,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
55,"I2C Serial EEPROM, 64Kb (8192x8) with Unique Serial Number, SO8",AT24CS64-SSHM,U5,AT24CS64-SSHM,SOIC-8_3.9x4.9mm_P1.27mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8870-SEEPROM-AT24CS64-Datasheet.pdf,5c70984712875079b91f8b99,,,,,,,1.5,,,,,,,
56,,ATMEGA1284P-AU-atmel-DATALOGGER01A-rescue-CCP2019V01A-rescue,U8,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984412875079b91f888e,,,,,,,1.1,,,,,,,
57,"BQ25628E I2C Controlled 1-Cell, 2-A, Maximum 18-V Input, Buck Battery Charger with
NVDC Power Path Management",BQ25628E,U13,BQ25628E,Texas_S-WQFN-HR-18,1,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,65481a71462c6d9e72056aa4,,,,,,,,0x6B,,,,,,
58,,BQ34Z100,U12,BQ34Z100,TSSOP-14_4.4x5mm_Pitch0.65mm,1,https://www.ti.com/lit/ds/symlink/bq34z100-g1.pdf,5c70984612875079b91f89c3,,,,,,,"1,2",0xAA,,,,,,
59,"USB HID to UART/I2C Bridge WQFN-28 Tray FTDI Chip FT260Q-T, USB Controller, 3.4MBps, HID, I2C, UART, USB 2.0, 1.8 V, 2.5 V, 3.3 V, 5 V, 28-Pin WQFN",FT260Q-T,U3,FT260Q-T,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT260.pdf,65481702462c6d9e72056a21,,,,,,,0.8,,FT260Q-T,https://www.arrow.com/en/products/ft260q-t/ftdi-chip?region=nac,FTDI Chip,FT260Q-T,895-FT260Q-T,https://www.mouser.co.uk/ProductDetail/FTDI/FT260Q-T?qs=b3QwWlrdtstFEkgcxHO4EA%3D%3D
60,Hi-Speed USB-to-SD Card Readers with Bypass,MAX14502AETL+,U1,MAX14502AETL+,QFN40P500X500X80-41N,1,https://datasheet.octopart.com/MAX14502AETL%2B-Dallas-Semiconductor-datasheet-13718882.pdf,6548165f462c6d9e720569f7,,,,,,,0.8,0x71,,,Analog Devices,MAX14502AETL+,,
61,"Sensor Pressure 1.2bar Barometric SMD MS561101BA03-50, Barometric Pressure Sensor, 1200mbar 0  3.6 V Output, 8-Pin QFN",MS561101BA03-50,U9,MS561101BA03-50,LGA-8_3x5mm_P1.25mm,1,https://www.te.com/usa-en/product-MS561101BA03-50.datasheet.pdf,650b36b0462c6d9e720543f4,,,,,,,1,0x76,,,TE Connectivity,MS561101BA03-50,824-MS561101BA03-50,https://www.mouser.co.uk/ProductDetail/Measurement-Specialties/MS561101BA03-50?qs=%252BgKeJhng5iV%252BnCz6Qd5iDw%3D%3D
62,I/O Controller Interface IC 2-to-1 I2C-bus master selector,"PCA9541ABS_03,118",U4,PCA9541ABS/01,QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm,1,http://www.nxp.com/docs/en/data-sheet/PCA9541A.pdf,65481909462c6d9e72056a4a,,,,,,,1,0x70,,,NXP,"PCA9541ABS/03,118","771-PCA9541ABS03,118",https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/PCA9541ABS-03118?qs=zgUyOPfUqsKSEeCPg1WHUw%3D%3D
63,RTC,PCF85263A,U10,PCF85263A,TSSOP-10_3x3mm_P0.5mm,1,https://www.nxp.com/docs/en/data-sheet/PCF85263A.pdf,5c70984612875079b91f8a0c,,,,,,,1.1,0x,,,,,,
64,"I²C humidity and temperature sensor, ±1.5%RH, ±0.1°C, DFN-8",SHT35-DIS,U6,SHT35-DIS,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,https://sensirion.com/media/documents/213E6A3B/63A5A569/Datasheet_SHT3x_DIS.pdf,65103c42462c6d9e72054b8e,,,,,,,0.9,0x44,,,,,,
65,,SN74HC164D,U14,SN74HC164P,TSSOP-14_4.4x5mm_P0.65mm,1,https://www.ti.com/lit/ds/symlink/sn74hc164.pdf,6559399f95a79cc5ac40a0a6,,,,,,,,,,,,,,
66,,TCA4307,U11,TCA4307,VSSOP-8_3.0x3.0mm_P0.65mm,1,https://www.ti.com/lit/ds/symlink/tca4307.pdf?ts=1617607418171&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTCA4307,6087a3f3128750769ee58f03,,,,,,,,,,,,,,
67,"Analogue Switch ICs Low-capacitance, 2:1 (SPDT) 4-channel, powered-off protection switch with 1.8-V logic 16-SOT-23-THN -40 to 125",TMUX1574DYYR,U7,TMUX1574DYYR,SOT-23-16 THIN,1,https://www.ti.com/lit/gpn/TMUX1574,65481983462c6d9e72056a6d,,,,,,,1.1,,TMUX1574DYYR,https://www.arrow.com/en/products/tmux1574dyyr/texas-instruments?region=nac,Texas Instruments,TMUX1574DYYR,595-TMUX1574DYYR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMUX1574DYYR?qs=B6kkDfuK7%2FDgs0e8M6dtlw%3D%3D
68,,TPS22965-Q1-MLAB_IO,U18,TPS22965-Q1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,https://www.ti.com/lit/ds/symlink/tps22965-q1.pdf,5c70984712875079b91f8b78,,,,,,,,,,,,,,
69,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U15U16U17,TPS631000DRLR,SOT-583-8,3,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,63de5ae4ae0b2d5aa05e2714,,,,,,,0.5,,,,Texas Instruments,TPS631000DRLR,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D
70,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",USBLC6-2SC6,U2,USBLC6-2SC6,SOT-23-6,1,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,5e82e0691287502a334a778c,,,C7519,,,,,,,,,,,
71,"Crystal Clock Oscillator,",CXO_DIP8,Y1,19.2 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,,,,,,,,,,,,,,,,
72,"Four pin crystal, GND on pins 2 and 4, small symbol",Crystal_GND24_Small,Y2,8 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,~,65481c4c462c6d9e72056ac8,,,,,,,,,,,,,,
73,,Crystal-device-DATALOGGER01A-rescue-CCP2019V01A-rescue,Y3,ABS07-120-32.768KHZ-T,ABS07,1,,5c70984712875079b91f8b1b,,,,,,,,,,,,,,
